image_path,filename,category,severity_score,severity_level,relative_path
/kaggle/input/mlartists-civic-issues-dataset/validate/Domestic_trash/Datacluster-Trash-13-_jpg.rf.50e42b9079d084691e52776c7c3502d3.jpg,Datacluster-Trash-13-_jpg.rf.50e42b9079d084691e52776c7c3502d3.jpg,Domestic_trash,7.16,High,validate/Domestic_trash/Datacluster-Trash-13-_jpg.rf.50e42b9079d084691e52776c7c3502d3.jpg
/kaggle/input/mlartists-civic-issues-dataset/validate/Domestic_trash/Datacluster-Trash-157-_jpg.rf.99acde50b3b44919d0b06f30137143dc.jpg,Datacluster-Trash-157-_jpg.rf.99acde50b3b44919d0b06f30137143dc.jpg,Domestic_trash,6.44,Medium,validate/Domestic_trash/Datacluster-Trash-157-_jpg.rf.99acde50b3b44919d0b06f30137143dc.jpg
/kaggle/input/mlartists-civic-issues-dataset/validate/Domestic_trash/Datacluster-Trash-182-_jpg.rf.453e75f3b5e3852c2b579b029276f86c.jpg,Datacluster-Trash-182-_jpg.rf.453e75f3b5e3852c2b579b029276f86c.jpg,Domestic_trash,5.91,Medium,validate/Domestic_trash/Datacluster-Trash-182-_jpg.rf.453e75f3b5e3852c2b579b029276f86c.jpg
/kaggle/input/mlartists-civic-issues-dataset/validate/Domestic_trash/Datacluster-Trash-42-_jpg.rf.4534ea229f7a49425f75f7fa9561e82e.jpg,Datacluster-Trash-42-_jpg.rf.4534ea229f7a49425f75f7fa9561e82e.jpg,Domestic_trash,4.18,Medium,validate/Domestic_trash/Datacluster-Trash-42-_jpg.rf.4534ea229f7a49425f75f7fa9561e82e.jpg
/kaggle/input/mlartists-civic-issues-dataset/validate/Domestic_trash/Datacluster-Trash-190-_jpg.rf.15153c7289c2fac926c4df179f58e887.jpg,Datacluster-Trash-190-_jpg.rf.15153c7289c2fac926c4df179f58e887.jpg,Domestic_trash,5.49,Medium,validate/Domestic_trash/Datacluster-Trash-190-_jpg.rf.15153c7289c2fac926c4df179f58e887.jpg
/kaggle/input/mlartists-civic-issues-dataset/validate/Domestic_trash/Datacluster-Trash-223-_jpg.rf.43ec0d3801153ead52ed6a4c3257e34f.jpg,Datacluster-Trash-223-_jpg.rf.43ec0d3801153ead52ed6a4c3257e34f.jpg,Domestic_trash,7.01,High,validate/Domestic_trash/Datacluster-Trash-223-_jpg.rf.43ec0d3801153ead52ed6a4c3257e34f.jpg
/kaggle/input/mlartists-civic-issues-dataset/validate/Domestic_trash/Datacluster-Trash-148-_jpg.rf.5d60496b2e9d0e0b4c80e3526525c037.jpg,Datacluster-Trash-148-_jpg.rf.5d60496b2e9d0e0b4c80e3526525c037.jpg,Domestic_trash,3.75,Medium,validate/Domestic_trash/Datacluster-Trash-148-_jpg.rf.5d60496b2e9d0e0b4c80e3526525c037.jpg
/kaggle/input/mlartists-civic-issues-dataset/validate/Domestic_trash/Datacluster-Trash-151-_jpg.rf.78187a147a9ba746b33cb96da027338a.jpg,Datacluster-Trash-151-_jpg.rf.78187a147a9ba746b33cb96da027338a.jpg,Domestic_trash,5.18,Medium,validate/Domestic_trash/Datacluster-Trash-151-_jpg.rf.78187a147a9ba746b33cb96da027338a.jpg
/kaggle/input/mlartists-civic-issues-dataset/validate/Domestic_trash/Datacluster-Trash-248-_jpg.rf.b24224988957080fea6fd5edc9a457a6.jpg,Datacluster-Trash-248-_jpg.rf.b24224988957080fea6fd5edc9a457a6.jpg,Domestic_trash,7.07,High,validate/Domestic_trash/Datacluster-Trash-248-_jpg.rf.b24224988957080fea6fd5edc9a457a6.jpg
/kaggle/input/mlartists-civic-issues-dataset/validate/Domestic_trash/Datacluster-Trash-96-_jpg.rf.0e307eea8df52e19de573a62f53ca35e.jpg,Datacluster-Trash-96-_jpg.rf.0e307eea8df52e19de573a62f53ca35e.jpg,Domestic_trash,4.7,Medium,validate/Domestic_trash/Datacluster-Trash-96-_jpg.rf.0e307eea8df52e19de573a62f53ca35e.jpg
/kaggle/input/mlartists-civic-issues-dataset/validate/Domestic_trash/Datacluster-Trash-16-_jpg.rf.fdda3d0919b2be0ceb54a88f73faa666.jpg,Datacluster-Trash-16-_jpg.rf.fdda3d0919b2be0ceb54a88f73faa666.jpg,Domestic_trash,7.23,High,validate/Domestic_trash/Datacluster-Trash-16-_jpg.rf.fdda3d0919b2be0ceb54a88f73faa666.jpg
/kaggle/input/mlartists-civic-issues-dataset/validate/Domestic_trash/Datacluster-Trash-29-_jpg.rf.384fecc91181b8ae6881b3a20958e334.jpg,Datacluster-Trash-29-_jpg.rf.384fecc91181b8ae6881b3a20958e334.jpg,Domestic_trash,3.14,Low,validate/Domestic_trash/Datacluster-Trash-29-_jpg.rf.384fecc91181b8ae6881b3a20958e334.jpg
/kaggle/input/mlartists-civic-issues-dataset/validate/Domestic_trash/Datacluster-Trash-118-_jpg.rf.d16a0d60fea656950c2997a1d2730ba2.jpg,Datacluster-Trash-118-_jpg.rf.d16a0d60fea656950c2997a1d2730ba2.jpg,Domestic_trash,3.77,Medium,validate/Domestic_trash/Datacluster-Trash-118-_jpg.rf.d16a0d60fea656950c2997a1d2730ba2.jpg
/kaggle/input/mlartists-civic-issues-dataset/validate/Domestic_trash/Datacluster-Trash-132-_jpg.rf.cd51bc9d155a8a288025af79ab49126a.jpg,Datacluster-Trash-132-_jpg.rf.cd51bc9d155a8a288025af79ab49126a.jpg,Domestic_trash,1.91,Low,validate/Domestic_trash/Datacluster-Trash-132-_jpg.rf.cd51bc9d155a8a288025af79ab49126a.jpg
/kaggle/input/mlartists-civic-issues-dataset/validate/Domestic_trash/Datacluster-Trash-206-_jpg.rf.423c92d2e1a7afe4c93223c490a40e62.jpg,Datacluster-Trash-206-_jpg.rf.423c92d2e1a7afe4c93223c490a40e62.jpg,Domestic_trash,5.75,Medium,validate/Domestic_trash/Datacluster-Trash-206-_jpg.rf.423c92d2e1a7afe4c93223c490a40e62.jpg
/kaggle/input/mlartists-civic-issues-dataset/validate/Domestic_trash/Datacluster-Trash-166-_jpg.rf.4f480b30fbc5fd047eb987c44674b2a7.jpg,Datacluster-Trash-166-_jpg.rf.4f480b30fbc5fd047eb987c44674b2a7.jpg,Domestic_trash,7.02,High,validate/Domestic_trash/Datacluster-Trash-166-_jpg.rf.4f480b30fbc5fd047eb987c44674b2a7.jpg
/kaggle/input/mlartists-civic-issues-dataset/validate/Domestic_trash/Datacluster-Trash-220-_jpg.rf.f39ab35aa494db537791fef82b3e97af.jpg,Datacluster-Trash-220-_jpg.rf.f39ab35aa494db537791fef82b3e97af.jpg,Domestic_trash,5.82,Medium,validate/Domestic_trash/Datacluster-Trash-220-_jpg.rf.f39ab35aa494db537791fef82b3e97af.jpg
/kaggle/input/mlartists-civic-issues-dataset/validate/Domestic_trash/Datacluster-Trash-89-_jpg.rf.114be00f7f6b5952ce5a87059e3f72fc.jpg,Datacluster-Trash-89-_jpg.rf.114be00f7f6b5952ce5a87059e3f72fc.jpg,Domestic_trash,7.12,High,validate/Domestic_trash/Datacluster-Trash-89-_jpg.rf.114be00f7f6b5952ce5a87059e3f72fc.jpg
/kaggle/input/mlartists-civic-issues-dataset/validate/Domestic_trash/Datacluster-Trash-18-_jpg.rf.e57a58c28725327b52cdd09572b5beb6.jpg,Datacluster-Trash-18-_jpg.rf.e57a58c28725327b52cdd09572b5beb6.jpg,Domestic_trash,4.7,Medium,validate/Domestic_trash/Datacluster-Trash-18-_jpg.rf.e57a58c28725327b52cdd09572b5beb6.jpg
/kaggle/input/mlartists-civic-issues-dataset/validate/Domestic_trash/Datacluster-Trash-187-_jpg.rf.3715e96be02a42167533691d7fe7d8a6.jpg,Datacluster-Trash-187-_jpg.rf.3715e96be02a42167533691d7fe7d8a6.jpg,Domestic_trash,7.36,High,validate/Domestic_trash/Datacluster-Trash-187-_jpg.rf.3715e96be02a42167533691d7fe7d8a6.jpg
/kaggle/input/mlartists-civic-issues-dataset/validate/Domestic_trash/Datacluster-Trash-156-_jpg.rf.3a3bbb49cfd56095589f675542d744c3.jpg,Datacluster-Trash-156-_jpg.rf.3a3bbb49cfd56095589f675542d744c3.jpg,Domestic_trash,6.07,Medium,validate/Domestic_trash/Datacluster-Trash-156-_jpg.rf.3a3bbb49cfd56095589f675542d744c3.jpg
/kaggle/input/mlartists-civic-issues-dataset/validate/Domestic_trash/Datacluster-Trash-28-_jpg.rf.b4b960742894320fecd030505320db6e.jpg,Datacluster-Trash-28-_jpg.rf.b4b960742894320fecd030505320db6e.jpg,Domestic_trash,7.29,High,validate/Domestic_trash/Datacluster-Trash-28-_jpg.rf.b4b960742894320fecd030505320db6e.jpg
/kaggle/input/mlartists-civic-issues-dataset/validate/Domestic_trash/Datacluster-Trash-25-_jpg.rf.c802530663038dc5b53c1a5cf9caa5df.jpg,Datacluster-Trash-25-_jpg.rf.c802530663038dc5b53c1a5cf9caa5df.jpg,Domestic_trash,7.84,High,validate/Domestic_trash/Datacluster-Trash-25-_jpg.rf.c802530663038dc5b53c1a5cf9caa5df.jpg
